Epoch,Average reward,Min reward,Max reward
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,1.0,0.0,10.0
5,2.0,0.0,10.0
6,1.0,0.0,10.0
7,2.0,0.0,10.0
8,3.0,0.0,10.0
9,2.0,0.0,10.0
41,5.0,0.0,10.0
